Arrest_Date,Police_Department_Code,Offense_Description,Offense_Key_Code,Offense_Detailed_Description,Law_Code,Offense_Category_Code,Arrest_Borough,Arrest_Precinct,Jurisdiction_Code,Perpetrator_Age_Group,Perpetrator_Sex,Perpetrator_Race,Latitude,Longitude,Arrest_Day_of_Week,Location
2024-11-26T00:00:00.000-05:00,500,"CONTROLLED SUBSTANCE,POSSESS.",117,DRUGS,PL 2202101,F,MANHATTAN,10,0,25-44,M,HISPANIC,40.743766,-74.007023,Tuesday,"40.743766, -74.007023"
2024-12-15T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,BRONX,46,0,25-44,M,BLACK,40.86170061882349,-73.8913806653553,Sunday,"40.86170061882349, -73.8913806653553"
2024-11-16T00:00:00.000-05:00,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER,PL 1651503,M,BRONX,47,1,45-64,M,HISPANIC,40.8773933872306,-73.86649088012618,Saturday,"40.8773933872306, -73.86649088012618"
2024-11-23T00:00:00.000-05:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,BROOKLYN,79,0,25-44,M,BLACK,40.688736,-73.944984,Saturday,"40.688736, -73.944984"
2024-11-21T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,14,17,45-64,M,HISPANIC,40.750655,-73.990866,Thursday,"40.750655, -73.990866"
2024-11-10T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,9,0,25-44,M,ASIAN,40.729942,-73.97918,Sunday,"40.729942, -73.97918"
2024-11-07T00:00:00.000-05:00,203,"TRESPASS 3, CRIMINAL",352,OTHER,PL 140100A,M,BRONX,40,2,18-24,F,HISPANIC,40.82167,-73.918909,Thursday,"40.82167, -73.918909"
2024-12-01T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,BRONX,46,0,25-44,M,HISPANIC,40.862368,-73.896509,Sunday,"40.862368, -73.896509"
2024-12-20T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,17,0,25-44,M,HISPANIC,40.756797,-73.971112,Friday,"40.756797, -73.971112"
2024-12-18T00:00:00.000-05:00,707,"IMPERSONATION 2, PUBLIC SERVAN",340,OTHER,PL 1902300,M,QUEENS,110,1,18-24,M,HISPANIC,40.74681219683057,-73.8917520418653,Wednesday,"40.74681219683057, -73.8917520418653"
2024-11-21T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,110,0,25-44,M,HISPANIC,40.744981,-73.870144,Thursday,"40.744981, -73.870144"
2024-11-25T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,QUEENS,113,3,25-44,M,BLACK,40.66524734353706,-73.80203307665145,Monday,"40.66524734353706, -73.80203307665145"
2024-11-02T00:00:00.000-04:00,793,WEAPONS POSSESSION 3,118,OTHER,PL 265025A,F,QUEENS,106,0,18-24,M,HISPANIC,40.678641,-73.860308,Saturday,"40.678641, -73.860308"
2024-12-14T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,109,0,25-44,M,HISPANIC,40.758557,-73.833072,Saturday,"40.758557, -73.833072"
2024-12-24T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,106,0,45-64,M,HISPANIC,40.66619,-73.80667,Tuesday,"40.66619, -73.80667"
2024-11-03T00:00:00.000-04:00,490,"STOLEN PROPERTY 3,POSSESSION",232,OTHER,PL 1654000,M,BROOKLYN,62,0,<18,M,WHITE,40.615692970958705,-73.99364985535468,Sunday,"40.615692970958705, -73.99364985535468"
2024-11-02T00:00:00.000-04:00,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,THEFT,PL 1553001,F,MANHATTAN,13,0,45-64,M,BLACK,40.737074,-73.982962,Saturday,"40.737074, -73.982962"
2024-11-30T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,BROOKLYN,67,0,18-24,M,BLACK,40.64324490254533,-73.94875987068026,Saturday,"40.64324490254533, -73.94875987068026"
2024-11-30T00:00:00.000-05:00,106,ASSAULT POLICE/PEACE OFFICER,106,ASSAULT,PL 1200800,F,MANHATTAN,25,4,25-44,M,HISPANIC,40.7921677429411,-73.92454607347513,Saturday,"40.7921677429411, -73.92454607347513"
2024-12-08T00:00:00.000-05:00,203,"TRESPASS 3, CRIMINAL",352,OTHER,PL 140100E,M,BRONX,40,0,45-64,M,HISPANIC,40.814715,-73.924507,Sunday,"40.814715, -73.924507"
2024-11-12T00:00:00.000-05:00,792,CRIMINAL POSSESSION WEAPON,118,OTHER,PL 265031B,F,QUEENS,103,0,25-44,M,BLACK,40.68946730438128,-73.79887452467567,Tuesday,"40.68946730438128, -73.79887452467567"
2024-11-26T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,5,0,25-44,M,HISPANIC,40.715949,-73.997351,Tuesday,"40.715949, -73.997351"
2024-12-12T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,BRONX,40,0,45-64,M,BLACK,40.81135040893067,-73.92419197724695,Thursday,"40.81135040893067, -73.92419197724695"
2024-12-04T00:00:00.000-05:00,113,"MENACING,UNCLASSIFIED",344,ASSAULT,PL 1201500,M,MANHATTAN,13,0,25-44,M,BLACK,40.744784,-73.99329,Wednesday,"40.744784, -73.99329"
2024-11-13T00:00:00.000-05:00,209,"BURGLARS TOOLS,UNCLASSIFIED",231,OTHER,PL 1403500,M,BROOKLYN,66,0,25-44,M,ASIAN,40.638212,-74.00494,Wednesday,"40.638212, -74.00494"
2024-11-30T00:00:00.000-05:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,QUEENS,103,0,25-44,F,BLACK,40.71106,-73.759655,Saturday,"40.71106, -73.759655"
2024-12-01T00:00:00.000-05:00,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER,LOC00000V0,V,MANHATTAN,7,1,25-44,M,BLACK,40.71855580770046,-73.98820001110087,Sunday,"40.71855580770046, -73.98820001110087"
2024-11-15T00:00:00.000-05:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 1601001,F,QUEENS,111,0,18-24,M,ASIAN,40.760183,-73.769813,Friday,"40.760183, -73.769813"
2024-11-21T00:00:00.000-05:00,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,OTHER,PL 1702500,F,MANHATTAN,14,0,25-44,M,BLACK,40.756547,-73.992144,Thursday,"40.756547, -73.992144"
2024-11-09T00:00:00.000-05:00,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,OTHER,PL 1657200,F,MANHATTAN,5,0,25-44,M,BLACK,40.716509,-73.998955,Saturday,"40.716509, -73.998955"
2024-11-30T00:00:00.000-05:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,MANHATTAN,9,0,25-44,M,BLACK,40.72293374228328,-73.98863937450834,Saturday,"40.72293374228328, -73.98863937450834"
2024-11-13T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,QUEENS,109,0,25-44,M,HISPANIC,40.781659,-73.832201,Wednesday,"40.781659, -73.832201"
2024-12-07T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,19,0,18-24,F,ASIAN,40.762548,-73.967958,Saturday,"40.762548, -73.967958"
2024-11-03T00:00:00.000-04:00,905,"INTOXICATED DRIVING,ALCOHOL",347,OTHER,VTL11920U2,M,STATEN ISLAND,121,0,25-44,M,WHITE,40.63207908328382,-74.15521511480709,Sunday,"40.63207908328382, -74.15521511480709"
2024-11-14T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,QUEENS,109,0,18-24,M,HISPANIC,40.757691,-73.834115,Thursday,"40.757691, -73.834115"
2024-11-18T00:00:00.000-05:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BROOKLYN,75,0,45-64,F,HISPANIC,40.672777,-73.866472,Monday,"40.672777, -73.866472"
2024-12-10T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL119807B,M,BROOKLYN,68,0,25-44,M,WHITE,40.63974831311106,-74.03607519534451,Tuesday,"40.63974831311106, -74.03607519534451"
2024-11-09T00:00:00.000-05:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,QUEENS,110,0,25-44,F,HISPANIC,40.744981,-73.870144,Saturday,"40.744981, -73.870144"
2024-12-08T00:00:00.000-05:00,114,OBSTR BREATH/CIRCUL,344,ASSAULT,PL 1211100,M,MANHATTAN,32,2,<18,F,HISPANIC,40.819408,-73.940703,Sunday,"40.819408, -73.940703"
2024-12-04T00:00:00.000-05:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,MANHATTAN,9,2,25-44,M,BLACK,40.72293,-73.974266,Wednesday,"40.72293, -73.974266"
2024-11-26T00:00:00.000-05:00,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,THEFT,PL 1553004,F,BROOKLYN,73,0,18-24,M,BLACK,40.665208753888734,-73.91251704887407,Tuesday,"40.665208753888734, -73.91251704887407"
2024-12-16T00:00:00.000-05:00,847,"NY STATE LAWS,UNCLASSIFIED FEL",125,OTHER,VTL05110FE,F,BRONX,49,0,25-44,M,BLACK,40.841065470148365,-73.84125782784075,Monday,"40.841065470148365, -73.84125782784075"
2024-11-25T00:00:00.000-05:00,969,"TRAFFIC,UNCLASSIFIED INFRACTIO",881,OTHER,VTL051101A,M,BROOKLYN,72,0,25-44,M,HISPANIC,40.641866,-74.015524,Monday,"40.641866, -74.015524"
2024-11-07T00:00:00.000-05:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 160102A,F,BRONX,48,0,25-44,M,HISPANIC,40.844144,-73.900499,Thursday,"40.844144, -73.900499"
2024-12-17T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BROOKLYN,84,1,18-24,M,HISPANIC,40.69427598041161,-73.99242349482047,Tuesday,"40.69427598041161, -73.99242349482047"
2024-11-15T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,110,0,25-44,M,HISPANIC,40.747087,-73.889124,Friday,"40.747087, -73.889124"
