Arrest_Date,Police_Department_Code,Offense_Description,Offense_Key_Code,Offense_Detailed_Description,Law_Code,Offense_Category_Code,Arrest_Borough,Arrest_Precinct,Jurisdiction_Code,Perpetrator_Age_Group,Perpetrator_Sex,Perpetrator_Race,Latitude,Longitude,Arrest_Day_of_Week,Location
2024-01-29T00:00:00.000-05:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 160102A,F,BROOKLYN,90,0,25-44,M,HISPANIC,40.706283,-73.950348,Monday,"40.706283, -73.950348"
2024-01-30T00:00:00.000-05:00,461,UNAUTHORIZED USE VEHICLE 2,126,OTHER,PL 1650600,F,STATEN ISLAND,120,0,25-44,M,BLACK,40.644996,-74.077263,Tuesday,"40.644996, -74.077263"
2024-02-20T00:00:00.000-05:00,681,"CHILD, ENDANGERING WELFARE",233,OTHER,PL 2601001,M,QUEENS,107,0,25-44,M,ASIAN,40.7301130668694,-73.8109089148815,Tuesday,"40.7301130668694, -73.8109089148815"
2024-02-09T00:00:00.000-05:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,BROOKLYN,79,0,25-44,M,BLACK,40.688736,-73.944984,Friday,"40.688736, -73.944984"
2024-06-12T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,BROOKLYN,70,0,25-44,M,BLACK,40.650298,-73.959342,Wednesday,"40.650298, -73.959342"
2024-02-14T00:00:00.000-05:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 1601001,F,BRONX,48,0,<18,M,BLACK,40.844144,-73.900499,Wednesday,"40.844144, -73.900499"
2024-02-06T00:00:00.000-05:00,792,CRIMINAL POSSESSION WEAPON,118,OTHER,PL 265031B,F,BRONX,41,0,<18,M,BLACK,40.822076,-73.890328,Tuesday,"40.822076, -73.890328"
2024-02-13T00:00:00.000-05:00,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,OTHER,PL 1402000,F,BROOKLYN,60,0,45-64,M,HISPANIC,40.577258,-73.976436,Tuesday,"40.577258, -73.976436"
2024-02-19T00:00:00.000-05:00,705,"FORGERY,ETC.-MISD.",358,OTHER,PL 1702000,M,MANHATTAN,23,2,25-44,F,HISPANIC,40.799045,-73.947642,Monday,"40.799045, -73.947642"
2024-02-12T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,19,0,25-44,M,WHITE,40.779159,-73.954784,Monday,"40.779159, -73.954784"
2024-01-31T00:00:00.000-05:00,113,"MENACING,UNCLASSIFIED",344,ASSAULT,PL 1201401,M,BROOKLYN,66,0,25-44,M,BLACK,40.637329,-73.97296,Wednesday,"40.637329, -73.97296"
2024-02-08T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BRONX,46,0,25-44,F,BLACK,40.852004,-73.922496,Thursday,"40.852004, -73.922496"
2024-06-18T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,QUEENS,110,0,45-64,M,HISPANIC,40.734955,-73.874983,Tuesday,"40.734955, -73.874983"
2024-02-21T00:00:00.000-05:00,782,"WEAPONS, POSSESSION, ETC",236,OTHER,PL 2650101,M,BROOKLYN,62,0,25-44,M,WHITE,40.59403110015844,-73.99484015582621,Wednesday,"40.59403110015844, -73.99484015582621"
2024-07-05T00:00:00.000-04:00,799,"PUBLIC SAFETY,UNCLASSIFIED MIS",363,OTHER,PL 2703000,F,BRONX,46,0,25-44,M,BLACK,40.84584909780714,-73.90272672986764,Friday,"40.84584909780714, -73.90272672986764"
2024-06-22T00:00:00.000-04:00,782,"WEAPONS, POSSESSION, ETC",236,OTHER,PL 2650101,M,MANHATTAN,14,0,45-64,M,BLACK,40.7552920707242,-73.99492151006154,Saturday,"40.7552920707242, -73.99492151006154"
