Arrest_Date,Police_Department_Code,Offense_Description,Offense_Key_Code,Offense_Detailed_Description,Law_Code,Offense_Category_Code,Arrest_Borough,Arrest_Precinct,Jurisdiction_Code,Perpetrator_Age_Group,Perpetrator_Sex,Perpetrator_Race,Latitude,Longitude,Arrest_Day_of_Week,Location
2024-04-25T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200501,F,QUEENS,104,0,25-44,F,WHITE,40.705339,-73.881449,Thursday,"40.705339, -73.881449"
2024-05-09T00:00:00.000-04:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510D,F,QUEENS,114,0,25-44,M,BLACK,40.769552,-73.915361,Thursday,"40.769552, -73.915361"
2024-05-29T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 121120X,F,QUEENS,113,0,25-44,M,BLACK,40.683581,-73.77586,Wednesday,"40.683581, -73.77586"
2024-05-02T00:00:00.000-04:00,725,"FORGERY,M.V. REGISTRATION",113,OTHER,PL 1701002,F,BRONX,44,0,25-44,M,HISPANIC,40.83142126178068,-73.9183078873453,Thursday,"40.83142126178068, -73.9183078873453"
2024-01-16T00:00:00.000-05:00,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER,PL 1651503,M,MANHATTAN,14,1,25-44,M,BLACK,40.751441558231285,-73.97604910329609,Tuesday,"40.751441558231285, -73.97604910329609"
2024-05-08T00:00:00.000-04:00,114,OBSTR BREATH/CIRCUL,344,ASSAULT,PL 1211100,M,BROOKLYN,69,0,45-64,M,HISPANIC,40.639129,-73.911663,Wednesday,"40.639129, -73.911663"
2024-01-13T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL05110MU,M,BRONX,43,0,45-64,M,BLACK,40.824208069070636,-73.87528369385093,Saturday,"40.824208069070636, -73.87528369385093"
2024-01-13T00:00:00.000-05:00,681,"CHILD, ENDANGERING WELFARE",233,OTHER,PL 2601001,M,BRONX,43,0,25-44,M,HISPANIC,40.8229123084767,-73.8700413043181,Saturday,"40.8229123084767, -73.8700413043181"
2024-04-13T00:00:00.000-04:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,MANHATTAN,34,0,25-44,M,HISPANIC,40.864885,-73.924076,Saturday,"40.864885, -73.924076"
2024-01-08T00:00:00.000-05:00,625,DISORDERLY CONDUCT,572,OTHER,PL 2402005,V,MANHATTAN,5,0,25-44,F,WHITE,40.711809718636395,-74.00405797735951,Monday,"40.711809718636395, -74.00405797735951"
2024-04-17T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,107,0,18-24,F,WHITE,40.720342,-73.798109,Wednesday,"40.720342, -73.798109"
2024-04-18T00:00:00.000-04:00,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OTHER,PL 2052001,M,BRONX,41,72,18-24,F,BLACK,40.804008,-73.878333,Thursday,"40.804008, -73.878333"
2024-01-10T00:00:00.000-05:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 1601001,F,QUEENS,114,0,18-24,M,ASIAN,40.76110089569637,-73.9399805096509,Wednesday,"40.76110089569637, -73.9399805096509"
2024-05-23T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BRONX,50,0,25-44,F,HISPANIC,40.892467,-73.910955,Thursday,"40.892467, -73.910955"
2024-06-02T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200002,M,QUEENS,106,0,25-44,F,BLACK,40.670951,-73.817825,Sunday,"40.670951, -73.817825"
2024-05-28T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,113,0,25-44,M,BLACK,40.6725,-73.799122,Tuesday,"40.6725, -73.799122"
2024-04-29T00:00:00.000-04:00,847,"NY STATE LAWS,UNCLASSIFIED FEL",125,OTHER,VTL05110FE,F,QUEENS,108,0,18-24,M,ASIAN,40.73431550789929,-73.9226161886233,Monday,"40.73431550789929, -73.9226161886233"
2024-04-20T00:00:00.000-04:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,BRONX,42,0,45-64,F,BLACK,40.82567,-73.906484,Saturday,"40.82567, -73.906484"
2024-05-13T00:00:00.000-04:00,792,CRIMINAL POSSESSION WEAPON,118,OTHER,PL 265031B,F,BRONX,47,0,25-44,M,BLACK,40.878833,-73.850662,Monday,"40.878833, -73.850662"
2024-05-31T00:00:00.000-04:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 1601504,F,BROOKLYN,75,0,45-64,M,BLACK,40.677232,-73.877278,Friday,"40.677232, -73.877278"
2024-05-18T00:00:00.000-04:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211200,F,BRONX,46,0,25-44,M,HISPANIC,40.854056,-73.902295,Saturday,"40.854056, -73.902295"
2024-01-07T00:00:00.000-05:00,268,CRIMINAL MIS 2 & 3,121,OTHER,PL 1451000,F,BROOKLYN,78,0,45-64,M,BLACK,40.684454,-73.97775,Sunday,"40.684454, -73.97775"
2024-01-12T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,BRONX,44,0,25-44,M,BLACK,40.822622,-73.930942,Friday,"40.822622, -73.930942"
2024-05-08T00:00:00.000-04:00,515,"CONTROLLED SUBSTANCE,SALE 3",117,DRUGS,PL 2203901,F,BROOKLYN,69,0,18-24,M,ASIAN,40.635757,-73.912893,Wednesday,"40.635757, -73.912893"
2024-01-17T00:00:00.000-05:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,STATEN ISLAND,120,0,45-64,M,BLACK,40.644996,-74.077263,Wednesday,"40.644996, -74.077263"
2024-05-25T00:00:00.000-04:00,505,"CONTROLLED SUBSTANCE, POSSESSI",117,DRUGS,PL 2200901,F,QUEENS,102,0,25-44,M,WHITE,40.684752729189285,-73.8607650341662,Saturday,"40.684752729189285, -73.8607650341662"
2024-05-07T00:00:00.000-04:00,114,OBSTR BREATH/CIRCUL,344,ASSAULT,PL 1211100,M,QUEENS,114,0,25-44,M,BLACK,40.769552,-73.915361,Tuesday,"40.769552, -73.915361"
2024-01-11T00:00:00.000-05:00,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",351,OTHER,PL 1450001,M,MANHATTAN,1,1,25-44,M,BLACK,40.71101604729775,-74.01079950184649,Thursday,"40.71101604729775, -74.01079950184649"
2024-05-31T00:00:00.000-04:00,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DRUGS,PL 2201601,F,BRONX,43,0,45-64,M,HISPANIC,40.830903,-73.866134,Friday,"40.830903, -73.866134"
2024-04-01T00:00:00.000-04:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL05110MU,M,MANHATTAN,14,0,25-44,M,BLACK,40.74978831616354,-73.98776859948752,Monday,"40.74978831616354, -73.98776859948752"
2024-01-03T00:00:00.000-05:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 1601001,F,QUEENS,102,0,<18,M,HISPANIC,40.69843,-73.831128,Wednesday,"40.69843, -73.831128"
2024-05-07T00:00:00.000-04:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,STATEN ISLAND,121,0,45-64,M,WHITE,40.594184,-74.164495,Tuesday,"40.594184, -74.164495"
2024-05-04T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,107,0,25-44,M,HISPANIC,40.712656,-73.796062,Saturday,"40.712656, -73.796062"
2024-05-23T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,14,0,45-64,M,BLACK,40.755929,-73.992598,Thursday,"40.755929, -73.992598"
2024-05-28T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BRONX,41,0,18-24,F,BLACK,40.820276,-73.896006,Tuesday,"40.820276, -73.896006"
2024-01-19T00:00:00.000-05:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,QUEENS,109,0,25-44,M,HISPANIC,40.757691,-73.834115,Friday,"40.757691, -73.834115"
2024-01-03T00:00:00.000-05:00,512,"CONTROLLED SUBSTANCE,SALE 1",117,DRUGS,PL 2204301,F,QUEENS,111,0,25-44,F,ASIAN,40.760148,-73.767422,Wednesday,"40.760148, -73.767422"
2024-06-15T00:00:00.000-04:00,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,OTHER,PL 1702500,F,BROOKLYN,79,0,25-44,M,BLACK,40.69488112109346,-73.94041155764808,Saturday,"40.69488112109346, -73.94041155764808"
2024-05-04T00:00:00.000-04:00,112,MENACING 1ST DEGREE (VICT NOT,126,OTHER,PL 1201800,F,MANHATTAN,17,0,18-24,M,BLACK,40.743515,-73.979733,Saturday,"40.743515, -73.979733"
2024-01-15T00:00:00.000-05:00,209,"BURGLARS TOOLS,UNCLASSIFIED",231,OTHER,PL 1403500,M,MANHATTAN,18,0,18-24,M,HISPANIC,40.76525275237906,-73.99508680987398,Monday,"40.76525275237906, -73.99508680987398"
2024-01-09T00:00:00.000-05:00,105,STRANGULATION 1ST,106,ASSAULT,PL 1211300,F,BRONX,45,0,25-44,M,HISPANIC,40.830792,-73.826946,Tuesday,"40.830792, -73.826946"
2024-05-24T00:00:00.000-04:00,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER,PL 1651503,M,MANHATTAN,19,1,25-44,M,HISPANIC,40.779497725226406,-73.95558406794517,Friday,"40.779497725226406, -73.95558406794517"
2024-01-01T00:00:00.000-05:00,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DRUGS,PL 2200300,M,BRONX,46,1,25-44,M,HISPANIC,40.85604676326622,-73.90077783555246,Monday,"40.85604676326622, -73.90077783555246"
2024-05-26T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,BROOKLYN,75,0,45-64,M,BLACK,40.674661,-73.872513,Sunday,"40.674661, -73.872513"
2024-04-17T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200501,F,BRONX,47,0,25-44,M,BLACK,40.894489,-73.86081,Wednesday,"40.894489, -73.86081"
2024-01-18T00:00:00.000-05:00,764,BAIL JUMPING 1 & 2,126,OTHER,PL 2155600,F,QUEENS,102,0,25-44,M,ASIAN,40.712206,-73.825952,Thursday,"40.712206, -73.825952"
2024-01-10T00:00:00.000-05:00,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DRUGS,PL 2201601,F,QUEENS,103,0,25-44,M,ASIAN,40.712832,-73.783094,Wednesday,"40.712832, -73.783094"
2024-05-15T00:00:00.000-04:00,639,AGGRAVATED HARASSMENT 2,361,OTHER,PL 240301B,M,MANHATTAN,30,0,25-44,M,HISPANIC,40.830524,-73.941518,Wednesday,"40.830524, -73.941518"
2024-05-19T00:00:00.000-04:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510D,F,QUEENS,101,0,25-44,M,BLACK,40.60274,-73.750081,Sunday,"40.60274, -73.750081"
2024-06-12T00:00:00.000-04:00,792,CRIMINAL POSSESSION WEAPON,118,OTHER,PL 265031B,F,BRONX,50,0,25-44,M,HISPANIC,40.8828621313214,-73.9035744897024,Wednesday,"40.8828621313214, -73.9035744897024"
2024-01-17T00:00:00.000-05:00,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DRUGS,PL 2200300,M,MANHATTAN,14,1,25-44,M,HISPANIC,40.75219043401121,-73.99346359839569,Wednesday,"40.75219043401121, -73.99346359839569"
2024-01-05T00:00:00.000-05:00,209,"BURGLARS TOOLS,UNCLASSIFIED",231,OTHER,PL 1403500,M,QUEENS,114,0,25-44,F,HISPANIC,40.753573,-73.914003,Friday,"40.753573, -73.914003"
2024-01-18T00:00:00.000-05:00,117,RECKLESS ENDANGERMENT 1,126,OTHER,PL 1202500,F,BROOKLYN,71,0,18-24,M,BLACK,40.664154,-73.946814,Thursday,"40.664154, -73.946814"
2024-05-27T00:00:00.000-04:00,793,WEAPONS POSSESSION 3,118,OTHER,PL 2650201,F,BROOKLYN,71,0,25-44,M,BLACK,40.666214,-73.949451,Monday,"40.666214, -73.949451"
2024-01-06T00:00:00.000-05:00,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,OTHER,PL 1601501,F,BRONX,44,0,18-24,M,BLACK,40.837774,-73.919455,Saturday,"40.837774, -73.919455"
2024-01-01T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BRONX,48,0,25-44,M,HISPANIC,40.850556,-73.89608,Monday,"40.850556, -73.89608"
2024-01-14T00:00:00.000-05:00,750,RESISTING ARREST,359,OTHER,PL 2053000,M,QUEENS,103,0,25-44,M,BLACK,40.704094,-73.800656,Sunday,"40.704094, -73.800656"
2024-01-13T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,MANHATTAN,30,0,25-44,M,HISPANIC,40.821381691686916,-73.95413257822179,Saturday,"40.821381691686916, -73.95413257822179"
2024-04-08T00:00:00.000-04:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL05110A1,M,BROOKLYN,81,0,18-24,M,HISPANIC,40.688733,-73.928717,Monday,"40.688733, -73.928717"
2024-01-18T00:00:00.000-05:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,BRONX,43,0,45-64,M,HISPANIC,40.838252,-73.860592,Thursday,"40.838252, -73.860592"
2024-06-10T00:00:00.000-04:00,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,OTHER,PL 1402000,F,BROOKLYN,79,0,45-64,M,BLACK,40.680390356887045,-73.94955696438568,Monday,"40.680390356887045, -73.94955696438568"
2024-05-27T00:00:00.000-04:00,782,"WEAPONS, POSSESSION, ETC",236,OTHER,PL 2650101,M,QUEENS,113,3,45-64,M,WHITE,40.6799807384666,-73.7762339071953,Monday,"40.6799807384666, -73.7762339071953"
2024-01-14T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BROOKLYN,75,0,25-44,M,BLACK,40.6640485186087,-73.88810882486644,Sunday,"40.6640485186087, -73.88810882486644"
2024-05-13T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200501,F,BRONX,40,0,45-64,M,BLACK,40.810391,-73.924895,Monday,"40.810391, -73.924895"
2024-06-02T00:00:00.000-04:00,113,"MENACING,UNCLASSIFIED",344,ASSAULT,PL 1201401,M,QUEENS,110,0,18-24,M,HISPANIC,40.74814169360295,-73.87641858903143,Sunday,"40.74814169360295, -73.87641858903143"
2024-05-11T00:00:00.000-04:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,MANHATTAN,32,2,25-44,M,HISPANIC,40.824445,-73.940744,Saturday,"40.824445, -73.940744"
2024-06-05T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200501,F,MANHATTAN,28,0,25-44,M,BLACK,40.808265,-73.950702,Wednesday,"40.808265, -73.950702"
2024-01-17T00:00:00.000-05:00,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,THEFT,PL 1553001,F,BROOKLYN,84,0,25-44,M,HISPANIC,40.691005,-73.983456,Wednesday,"40.691005, -73.983456"
2024-06-13T00:00:00.000-04:00,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OTHER,PL 1950500,M,BROOKLYN,67,0,18-24,M,BLACK,40.638698,-73.946819,Thursday,"40.638698, -73.946819"
2024-01-09T00:00:00.000-05:00,681,"CHILD, ENDANGERING WELFARE",233,OTHER,PL 2601001,M,BRONX,43,0,25-44,F,BLACK,40.8229123084767,-73.8700413043181,Tuesday,"40.8229123084767, -73.8700413043181"
2024-04-17T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,BRONX,40,0,25-44,M,BLACK,40.810399,-73.924897,Wednesday,"40.810399, -73.924897"
2024-04-29T00:00:00.000-04:00,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER,PL 1651503,M,QUEENS,115,0,25-44,M,HISPANIC,40.756585,-73.875603,Monday,"40.756585, -73.875603"
2024-05-01T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BRONX,49,0,45-64,F,HISPANIC,40.866419,-73.847152,Wednesday,"40.866419, -73.847152"
2024-05-13T00:00:00.000-04:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,QUEENS,112,0,18-24,M,ASIAN,40.725562860059284,-73.83836166699767,Monday,"40.725562860059284, -73.83836166699767"
2024-05-21T00:00:00.000-04:00,113,"MENACING,UNCLASSIFIED",344,ASSAULT,PL 1201500,M,MANHATTAN,32,2,25-44,M,BLACK,40.824445,-73.940744,Tuesday,"40.824445, -73.940744"
2024-04-17T00:00:00.000-04:00,115,RECKLESS ENDANGERMENT 2,355,OTHER,PL 1202000,M,BRONX,52,0,25-44,M,HISPANIC,40.865020251010584,-73.89275994294673,Wednesday,"40.865020251010584, -73.89275994294673"
2024-04-12T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,QUEENS,109,0,18-24,F,BLACK,40.762037,-73.827328,Friday,"40.762037, -73.827328"
2024-04-23T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,MANHATTAN,7,0,25-44,M,HISPANIC,40.715156,-73.98709,Tuesday,"40.715156, -73.98709"
2024-05-15T00:00:00.000-04:00,129,"MANSLAUGHTER,UNCLASSIFIED - NO",101,OTHER,PL 1251501,F,BRONX,44,0,25-44,M,HISPANIC,40.837774,-73.919455,Wednesday,"40.837774, -73.919455"
2024-01-01T00:00:00.000-05:00,750,RESISTING ARREST,359,OTHER,PL 2053000,M,QUEENS,115,0,25-44,M,HISPANIC,40.74921,-73.88944,Monday,"40.74921, -73.88944"
2024-01-20T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,BRONX,44,0,18-24,M,BLACK,40.82790351498835,-73.91216944981272,Saturday,"40.82790351498835, -73.91216944981272"
2024-04-09T00:00:00.000-04:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,BRONX,52,0,25-44,M,HISPANIC,40.869067,-73.8806,Tuesday,"40.869067, -73.8806"
2024-01-14T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,BROOKLYN,60,0,25-44,M,WHITE,40.574649,-74.004265,Sunday,"40.574649, -74.004265"
2024-06-07T00:00:00.000-04:00,139,"MURDER,UNCLASSIFIED",101,OTHER,PL 1252501,F,BRONX,41,72,18-24,M,BLACK,40.804008,-73.878333,Friday,"40.804008, -73.878333"
2024-05-02T00:00:00.000-04:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,QUEENS,113,0,25-44,M,BLACK,40.680077,-73.775929,Thursday,"40.680077, -73.775929"
2024-01-03T00:00:00.000-05:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200512,F,MANHATTAN,28,1,45-64,M,BLACK,40.808109,-73.945238,Wednesday,"40.808109, -73.945238"
2024-04-29T00:00:00.000-04:00,479,"THEFT,RELATED OFFENSES,UNCLASS",343,OTHER,PL 1650001,M,QUEENS,106,0,25-44,M,ASIAN,40.677597,-73.828216,Monday,"40.677597, -73.828216"
2024-01-15T00:00:00.000-05:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,MANHATTAN,34,0,25-44,F,HISPANIC,40.863238189247156,-73.92692384541492,Monday,"40.863238189247156, -73.92692384541492"
2024-04-16T00:00:00.000-04:00,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,OTHER,VTL0511001,M,MANHATTAN,17,0,25-44,M,HISPANIC,40.749824037819685,-73.97220233150266,Tuesday,"40.749824037819685, -73.97220233150266"
2024-06-06T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,BROOKLYN,72,0,25-44,F,ASIAN,40.654754,-74.007225,Thursday,"40.654754, -74.007225"
2024-05-17T00:00:00.000-04:00,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER,PL 1651503,M,MANHATTAN,14,1,18-24,M,HISPANIC,40.75099078334884,-73.99062326583427,Friday,"40.75099078334884, -73.99062326583427"
2024-05-29T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200501,F,BROOKLYN,70,0,25-44,M,BLACK,40.630736,-73.973423,Wednesday,"40.630736, -73.973423"
2024-01-17T00:00:00.000-05:00,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DRUGS,PL 2201601,F,STATEN ISLAND,123,0,25-44,M,HISPANIC,40.520918529566686,-74.23511168581581,Wednesday,"40.520918529566686, -74.23511168581581"
2024-01-02T00:00:00.000-05:00,799,"PUBLIC SAFETY,UNCLASSIFIED MIS",363,OTHER,PL 2702500,M,QUEENS,102,0,25-44,M,WHITE,40.70244443196808,-73.81686112483767,Tuesday,"40.70244443196808, -73.81686112483767"
2024-04-17T00:00:00.000-04:00,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,THEFT,PL 1553001,F,BROOKLYN,84,0,25-44,F,HISPANIC,40.695404,-73.983239,Wednesday,"40.695404, -73.983239"
2024-04-27T00:00:00.000-04:00,464,JOSTLING,230,OTHER,PL 1652502,M,MANHATTAN,14,0,25-44,M,HISPANIC,40.75853318613154,-73.98884266079277,Saturday,"40.75853318613154, -73.98884266079277"
2024-01-18T00:00:00.000-05:00,793,WEAPONS POSSESSION 3,118,OTHER,PL 2650201,F,BROOKLYN,81,0,25-44,M,BLACK,40.69093,-73.929155,Thursday,"40.69093, -73.929155"
2024-06-10T00:00:00.000-04:00,782,"WEAPONS, POSSESSION, ETC",236,OTHER,PL 2650102,M,QUEENS,103,0,25-44,F,BLACK,40.70334171028012,-73.80020318978802,Monday,"40.70334171028012, -73.80020318978802"
2024-01-06T00:00:00.000-05:00,494,"STOLEN PROPERTY 2,1,POSSESSION",111,OTHER,PL 1654501,F,MANHATTAN,19,0,25-44,M,HISPANIC,40.77881447706662,-73.95608280319802,Saturday,"40.77881447706662, -73.95608280319802"
2024-06-02T00:00:00.000-04:00,339,"LARCENY,PETIT FROM OPEN AREAS,",341,THEFT,PL 1552500,M,MANHATTAN,18,0,25-44,M,HISPANIC,40.766501,-73.982362,Sunday,"40.766501, -73.982362"
2024-01-06T00:00:00.000-05:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,QUEENS,110,0,45-64,M,HISPANIC,40.744981,-73.870144,Saturday,"40.744981, -73.870144"
2024-01-12T00:00:00.000-05:00,782,"WEAPONS, POSSESSION, ETC",236,OTHER,PL 2650101,M,MANHATTAN,32,0,25-44,M,BLACK,40.820942,-73.941443,Friday,"40.820942, -73.941443"
2024-01-14T00:00:00.000-05:00,101,ASSAULT 3,344,ASSAULT,PL 1200001,M,MANHATTAN,34,0,25-44,F,HISPANIC,40.863613,-73.920931,Sunday,"40.863613, -73.920931"
2024-05-29T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,MANHATTAN,18,0,25-44,F,ASIAN,40.76539,-73.985702,Wednesday,"40.76539, -73.985702"
2024-01-11T00:00:00.000-05:00,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DRUGS,PL 2200300,M,QUEENS,100,0,25-44,M,BLACK,40.587654,-73.810559,Thursday,"40.587654, -73.810559"
2024-01-02T00:00:00.000-05:00,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OTHER,PL 1950500,M,BROOKLYN,77,1,25-44,M,BLACK,40.67065802222989,-73.95797447716627,Tuesday,"40.67065802222989, -73.95797447716627"
2024-05-21T00:00:00.000-04:00,707,"IMPERSONATION 2, PUBLIC SERVAN",340,OTHER,PL 1902300,M,MANHATTAN,1,1,25-44,M,HISPANIC,40.72062858780503,-74.00520932860381,Tuesday,"40.72062858780503, -74.00520932860381"
2024-05-17T00:00:00.000-04:00,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,OTHER,PL 215510B,F,STATEN ISLAND,123,0,65+,M,WHITE,40.541616,-74.203077,Friday,"40.541616, -74.203077"
2024-04-20T00:00:00.000-04:00,109,"ASSAULT 2,1,UNCLASSIFIED",106,ASSAULT,PL 1200502,F,MANHATTAN,7,0,25-44,F,WHITE,40.720408,-73.987246,Saturday,"40.720408, -73.987246"
